H(EL.m),V(m3)
90.8,40263787.82
90.9,40436242.92
91,40608698.02
91.1,40781153.12
91.2,40953608.22
91.3,41126063.32
91.4,41298518.42
91.5,41470973.52
91.6,41643428.62
91.7,41815883.72
91.8,41988338.82
91.9,42160793.92
92,42333249.02
92.1,42505704.12
92.2,42678159.22
92.3,42850614.32
92.4,43023069.42
92.5,43195524.52
92.6,43367979.62
92.7,43540434.72
92.8,43712889.82
92.9,43885344.92
93,44057800.02
93.1,44230255.12
93.2,44402710.22
93.3,44575165.32
93.4,44747620.42
93.5,44920075.52
93.6,45092530.62
93.7,45264985.72
93.8,45437440.82
93.9,45609895.92
94,45782351.02
94.1,45954806.12
94.2,46127261.22
94.3,46299716.32
94.4,46472171.42
94.5,46644626.52
94.6,46817081.62
94.7,46989536.72
94.8,47161991.82
94.9,47334446.92
95,47506902.02
95.1,47679357.12
95.2,47851812.22
95.3,48024267.32
95.4,48196722.42
95.5,48369177.52
95.6,48541632.62
95.7,48714087.72
95.8,48886542.82
95.9,49058997.92
96,49231453.02
96.1,49403908.12
96.2,49576363.22
96.3,49748818.32
96.4,49921273.42
96.5,50093728.52
96.6,50266183.62
96.7,50438638.72
96.8,50611093.82
96.9,50783548.92
97,50956004.02
97.1,51128459.12
97.2,51300914.22
97.3,51473369.32
97.4,51645824.42
97.5,51818279.52
97.6,51990734.62
97.7,52163189.72
97.8,52335644.82
97.9,52508099.92
98,52680555.02
98.1,52853010.12
98.2,53025465.22
98.3,53197920.32
98.4,53370375.42
98.5,53542830.52
98.6,53715285.62
98.7,53887740.72
98.8,54060195.82
98.9,54232650.92
99,54405106.02
99.1,54577561.12
99.2,54750016.22
99.3,54922471.32
99.4,55094926.42
99.5,55267381.52
99.6,55439836.62
99.7,55612291.72
99.8,55784746.82
99.9,55957201.92
100,56129657.02
100.1,56302112.12
100.2,56474567.22
100.3,56647022.32
100.4,56819477.42
100.5,56991932.52
100.6,57164387.62
100.7,57336842.72
100.8,57509297.82
100.9,57681752.92
101,57854208.02
101.1,58026663.12
101.2,58199118.22
101.3,58371573.32
101.4,58544028.42
101.5,58716483.52
101.6,58888938.62
101.7,59061393.72
101.8,59233848.82
101.9,59406303.92
102,59578759.02
102.1,59751214.12
102.2,59923669.22
102.3,60096124.32
102.4,60268579.42
102.5,60441034.52
102.6,60613489.62
102.7,60785944.72
102.8,60958399.82
102.9,61130854.92
103,61303310.02
103.1,61475765.12
103.2,61648220.22
103.3,61820675.32
103.4,61993130.42
103.5,62165585.52
103.6,62338040.62
103.7,62510495.72
103.8,62682950.82
103.9,62855405.92
104,63027861.02
104.1,63200316.12
104.2,63372771.22
104.3,63545226.32
104.4,63717681.42
104.5,63890136.52
104.6,64062591.62
104.7,64235046.72
104.8,64407501.82
104.9,64579956.92
105,64752412.02
105.1,64924867.12
105.2,65097322.22
105.3,65269777.32
105.4,65442232.42
105.5,65614687.52
105.6,65787142.62
105.7,65959597.72
105.8,66132052.82
105.9,66304507.92
106,66476963.02
106.1,66649418.12
106.2,66821873.22
106.3,66994328.32
106.4,67166783.42
106.5,67339238.52
106.6,67511693.62
106.7,67684148.72
106.8,67856603.82
106.9,68029058.92
107,68201514.02
107.1,68373969.12
107.2,68546424.22
107.3,68718879.32
107.4,68891334.42
107.5,69063789.52
107.6,69236244.62
107.7,69408699.72
107.8,69581154.82
107.9,69753609.92
108,69926065.02
108.1,70098520.12
108.2,70270975.22
108.3,70443430.32
108.4,70615885.42
108.5,70788340.52
108.6,70960795.62
108.7,71133250.72
108.8,71305705.82
108.9,71478160.92
109,71650616.02
109.1,71823071.12
109.2,71995526.22
109.3,72167981.32
109.4,72340436.42
109.5,72512891.52
109.6,72685346.62
109.7,72857801.72
109.8,73030256.82
109.9,73202711.92
110,73375167.02
110.1,73547622.12
110.2,73720077.22
110.3,73892532.32
110.4,74064987.42
110.5,74237442.52
110.6,74409897.62
110.7,74582352.72
110.8,74754807.82
110.9,74927262.92
111,75099718.02
111.1,75272173.12
111.2,75444628.22
111.3,75617083.32
111.4,75789538.42
111.5,75961993.52
111.6,76134448.62
111.7,76306903.72
111.8,76479358.82
111.9,76651813.92
112,76824269.02
112.1,76996724.12
112.2,77169179.22
112.3,77341634.32
112.4,77514089.42
112.5,77686544.52
112.6,77858999.62
112.7,78031454.72
112.8,78203909.82
112.9,78376364.92
113,78548820.02
113.1,78721275.12
113.2,78893730.22
113.3,79066185.32
113.4,79238640.42
113.5,79411095.52
113.6,79583550.62
113.7,79756005.72
113.8,79928460.82
113.9,80100915.92
114,80273371.02
114.1,80445826.12
114.2,80618281.22
114.3,80790736.32
114.4,80963191.42
114.5,81135646.52
114.6,81308101.62
114.7,81480556.72
114.8,81653011.82
114.9,81825466.92
115,81997922.02
115.1,82170377.12
115.2,82342832.22
115.3,82515287.32
115.4,82687742.42
115.5,82860197.52
115.6,83032652.62
115.7,83205107.72
115.8,83377562.82
115.9,83550017.92
116,83722473.02
116.1,83894928.12
116.2,84067383.22
116.3,84239838.32
116.4,84412293.42
116.5,84584748.52
116.6,84757203.62
116.7,84929658.72
116.8,85102113.82
116.9,85274568.92
117,85447024.02
117.1,85619479.12
117.2,85791934.22
117.3,85964389.32
117.4,86136844.42
117.5,86309299.52
117.6,86481754.62
117.7,86654209.72
117.8,86826664.82
117.9,86999119.92
118,87171575.02
118.1,87344030.12
118.2,87516485.22
118.3,87688940.32
118.4,87861395.42
118.5,88033850.52
118.6,88206305.62
118.7,88378760.72
118.8,88551215.82
118.9,88723670.92
119,88896126.02
119.1,89068581.12
119.2,89241036.22
119.3,89413491.32
119.4,89585946.42
119.5,89758401.52
119.6,89930856.62
119.7,90103311.72
119.8,90275766.82
119.9,90448221.92
120,90620677.02
